date,open,high,low,close,volume,average,barCount
2021-11-19 06:30:00,157.63,157.87,157.21,157.25,51336.51,157.802,4522
2021-11-19 06:31:00,157.22,157.24,156.53,156.63,8216.76,156.854,3273
2021-11-19 06:32:00,156.63,157.26,156.63,156.81,6680.56,156.956,3102
2021-11-19 06:33:00,156.8,157.26,156.79,157.21,4110.03,157.079,1891
2021-11-19 06:34:00,157.21,157.3,157.07,157.12,3731.0,157.18,1782
2021-11-19 06:35:00,157.11,157.59,157.08,157.59,5090.39,157.361,2604
2021-11-19 06:36:00,157.59,157.95,157.47,157.94,6224.44,157.731,2646
2021-11-19 06:37:00,157.94,157.99,157.63,157.71,4218.12,157.83,1963
2021-11-19 06:38:00,157.68,157.8,157.64,157.78,2976.99,157.717,1452
2021-11-19 06:39:00,157.79,158.23,157.73,158.23,6706.21,158.021,2386
2021-11-19 06:40:00,158.24,158.27,158.0,158.07,5291.94,158.134,2604
2021-11-19 06:41:00,158.07,158.08,157.68,157.8,4532.55,157.882,2139
2021-11-19 06:42:00,157.8,157.88,157.57,157.69,3693.33,157.769,1873
2021-11-19 06:43:00,157.69,157.94,157.64,157.77,4130.17,157.79,1830
2021-11-19 06:44:00,157.76,157.91,157.65,157.89,2978.61,157.776,1434
2021-11-19 06:45:00,157.91,158.1,157.91,158.05,3763.13,158.014,1534
2021-11-19 06:46:00,158.05,158.1,157.48,157.53,3977.31,157.857,1620
2021-11-19 06:47:00,157.55,157.7,157.35,157.4,3519.95,157.514,1647
2021-11-19 06:48:00,157.39,157.6,157.34,157.59,2699.46,157.463,1178
2021-11-19 06:49:00,157.58,157.8,157.54,157.8,2419.86,157.687,1216
2021-11-19 06:50:00,157.8,157.9,157.71,157.9,2246.63,157.819,1158
2021-11-19 06:51:00,157.9,157.95,157.81,157.86,2276.92,157.894,1081
2021-11-19 06:52:00,157.85,158.27,157.83,158.21,3826.28,158.097,1687
2021-11-19 06:53:00,158.22,158.25,158.1,158.23,2530.95,158.181,1122
2021-11-19 06:54:00,158.22,158.57,158.21,158.56,5098.43,158.393,1969
2021-11-19 06:55:00,158.57,158.62,158.39,158.58,4332.82,158.489,1688
2021-11-19 06:56:00,158.57,158.84,158.55,158.78,4560.38,158.702,1779
2021-11-19 06:57:00,158.78,158.9,158.73,158.82,4149.58,158.818,1555
2021-11-19 06:58:00,158.82,159.02,158.8,158.86,6044.62,158.938,2181
2021-11-19 06:59:00,158.86,158.96,158.85,158.95,2705.01,158.902,1208
2021-11-19 07:00:00,158.95,159.0,158.52,158.52,5062.83,158.712,2568
2021-11-19 07:01:00,158.53,158.71,158.52,158.69,2858.47,158.615,1311
2021-11-19 07:02:00,158.69,158.76,158.61,158.75,2892.91,158.686,1079
2021-11-19 07:03:00,158.74,158.87,158.74,158.87,2948.66,158.782,1325
2021-11-19 07:04:00,158.87,158.89,158.74,158.81,3192.72,158.823,1560
2021-11-19 07:05:00,158.81,158.93,158.8,158.85,2983.77,158.849,1664
2021-11-19 07:06:00,158.84,158.85,158.29,158.42,5883.0,158.465,2963
2021-11-19 07:07:00,158.43,158.56,158.36,158.48,3236.0,158.449,1176
2021-11-19 07:08:00,158.49,158.51,158.41,158.49,2048.55,158.461,942
