date,open,high,low,close,volume,average,barCount
2021-11-19 06:30:00,3712.69,3724.28,3705.18,3722.89,2004.01,3713.96,366
2021-11-19 06:31:00,3723.88,3731.36,3720.48,3720.49,479.16,3727.423,306
2021-11-19 06:32:00,3719.58,3731.25,3718.03,3730.0,210.58,3724.461,146
2021-11-19 06:33:00,3730.23,3738.0,3726.67,3736.64,306.24,3734.106,191
2021-11-19 06:34:00,3736.74,3736.74,3727.75,3729.37,197.42,3731.562,109
2021-11-19 06:35:00,3730.93,3741.12,3728.0,3738.86,225.92,3735.294,166
2021-11-19 06:36:00,3740.0,3745.24,3738.88,3742.34,205.18,3742.861,144
2021-11-19 06:37:00,3744.0,3745.0,3736.7,3740.14,152.65,3739.835,124
2021-11-19 06:38:00,3740.0,3742.43,3737.47,3737.47,68.12,3739.673,45
2021-11-19 06:39:00,3738.66,3740.0,3735.26,3738.89,62.24,3737.923,36
2021-11-19 06:40:00,3739.8,3740.0,3735.96,3735.96,71.28,3737.933,48
2021-11-19 06:41:00,3735.75,3740.0,3734.99,3739.0,141.3,3737.342,85
2021-11-19 06:42:00,3738.29,3744.56,3738.29,3743.19,72.61,3742.734,49
2021-11-19 06:43:00,3743.65,3748.0,3743.65,3748.0,183.59,3746.323,113
2021-11-19 06:44:00,3747.39,3749.72,3746.19,3748.52,128.63,3747.993,93
2021-11-19 06:45:00,3748.01,3750.0,3742.22,3743.98,195.3,3745.951,131
2021-11-19 06:46:00,3745.86,3746.5,3736.92,3736.92,104.66,3741.518,69
2021-11-19 06:47:00,3736.53,3739.72,3735.84,3738.08,73.32,3737.752,43
2021-11-19 06:48:00,3736.46,3743.76,3736.46,3742.81,61.8,3740.24,41
2021-11-19 06:49:00,3743.76,3745.0,3739.01,3741.38,46.3,3741.675,33
2021-11-19 06:50:00,3738.29,3745.0,3738.29,3741.0,64.26,3741.622,47
2021-11-19 06:51:00,3742.0,3745.23,3741.66,3744.08,92.24,3743.558,52
2021-11-19 06:52:00,3743.25,3745.81,3743.13,3743.13,43.41,3744.512,34
2021-11-19 06:53:00,3744.52,3745.2,3742.44,3743.79,50.98,3743.485,31
2021-11-19 06:54:00,3742.7,3747.2,3742.7,3746.66,42.8,3744.952,20
2021-11-19 06:55:00,3744.72,3746.34,3743.15,3746.08,59.2,3744.295,21
2021-11-19 06:56:00,3746.15,3747.03,3744.0,3745.5,49.51,3745.519,33
2021-11-19 06:57:00,3746.51,3756.0,3746.51,3752.05,238.43,3751.879,150
2021-11-19 06:58:00,3752.7,3756.9,3752.7,3755.46,120.36,3755.209,80
2021-11-19 06:59:00,3755.63,3756.9,3752.5,3754.91,131.5,3755.188,90
2021-11-19 07:00:00,3756.19,3756.19,3745.25,3745.25,117.93,3752.473,62
2021-11-19 07:01:00,3745.21,3746.79,3731.23,3731.24,165.78,3740.496,121
2021-11-19 07:02:00,3731.88,3739.33,3728.13,3738.17,176.37,3734.329,109
2021-11-19 07:03:00,3738.27,3741.66,3737.17,3739.22,77.04,3740.133,57
2021-11-19 07:04:00,3737.43,3739.46,3728.94,3728.95,201.81,3733.68,131
2021-11-19 07:05:00,3728.68,3735.0,3728.68,3734.14,63.9,3732.386,47
2021-11-19 07:06:00,3734.11,3734.11,3718.0,3720.01,210.63,3723.042,128
2021-11-19 07:07:00,3720.42,3732.02,3720.42,3727.49,153.96,3727.284,109
2021-11-19 07:08:00,3727.37,3731.22,3725.98,3729.28,65.57,3728.175,55
2021-11-19 07:09:00,3728.7,3734.53,3728.58,3732.23,47.84,3731.28,37
2021-11-19 07:10:00,3732.79,3732.79,3725.42,3727.02,54.31,3729.422,36
2021-11-19 07:11:00,3725.46,3727.52,3723.16,3723.16,67.65,3725.399,37
2021-11-19 07:12:00,3724.69,3725.42,3721.85,3724.94,69.66,3723.702,39
2021-11-19 07:13:00,3727.0,3730.2,3726.22,3730.2,41.82,3728.349,26
2021-11-19 07:14:00,3732.16,3732.97,3730.02,3731.5,82.3,3731.632,51
2021-11-19 07:15:00,3730.8,3731.81,3729.42,3730.18,48.3,3730.763,32
2021-11-19 07:16:00,3731.11,3733.4,3730.6,3732.62,33.38,3732.693,24
2021-11-19 07:17:00,3733.26,3733.26,3731.35,3731.35,26.88,3732.259,17
2021-11-19 07:18:00,3730.68,3732.26,3730.02,3732.26,19.12,3731.375,19
2021-11-19 07:19:00,3731.88,3734.27,3731.88,3733.82,73.98,3733.33,49
2021-11-19 07:20:00,3735.14,3739.83,3735.14,3738.64,46.52,3738.51,30
2021-11-19 07:21:00,3737.64,3743.0,3737.64,3741.65,46.49,3740.659,34
2021-11-19 07:22:00,3742.28,3745.97,3741.49,3745.13,81.7,3743.829,51
2021-11-19 07:23:00,3744.74,3748.85,3744.0,3747.0,90.39,3746.695,49
2021-11-19 07:24:00,3746.62,3748.0,3741.28,3741.28,85.9,3746.165,54
2021-11-19 07:25:00,3740.51,3741.54,3731.56,3732.65,68.06,3736.755,45
2021-11-19 07:26:00,3733.2,3735.28,3728.49,3729.43,123.97,3731.964,91
2021-11-19 07:27:00,3729.76,3729.8,3725.51,3726.72,52.89,3728.149,31
2021-11-19 07:28:00,3727.21,3734.57,3726.01,3734.56,57.62,3730.576,36
2021-11-19 07:29:00,3734.0,3736.81,3732.84,3733.67,31.82,3734.856,25
2021-11-19 07:30:00,3733.2,3734.0,3726.55,3729.11,38.83,3729.63,36
2021-11-19 07:31:00,3731.88,3736.18,3731.81,3735.17,26.01,3733.305,25
2021-11-19 07:32:00,3736.44,3740.67,3736.44,3738.65,48.81,3738.545,24
2021-11-19 07:33:00,3737.56,3739.86,3735.99,3735.99,59.38,3737.671,37
2021-11-19 07:34:00,3735.99,3737.15,3734.13,3737.15,22.52,3735.552,21
2021-11-19 07:35:00,3736.17,3736.99,3733.63,3733.63,13.0,3735.388,13
2021-11-19 07:36:00,3734.06,3737.47,3733.63,3735.6,30.77,3734.75,27
2021-11-19 07:37:00,3736.0,3743.31,3736.0,3740.29,57.18,3740.653,36
2021-11-19 07:38:00,3739.2,3744.29,3739.19,3742.25,44.87,3741.98,25
2021-11-19 07:39:00,3742.16,3743.17,3741.84,3742.82,9.05,3742.545,8
2021-11-19 07:40:00,3742.22,3743.0,3739.89,3742.06,50.91,3741.554,35
2021-11-19 07:41:00,3742.7,3742.7,3740.03,3740.03,20.28,3740.885,11
2021-11-19 07:42:00,3739.0,3743.18,3738.99,3742.32,44.59,3742.029,27
2021-11-19 07:43:00,3743.62,3745.0,3742.0,3743.27,38.05,3743.43,21
2021-11-19 07:44:00,3743.89,3744.18,3739.58,3740.71,47.26,3741.335,29
2021-11-19 07:45:00,3741.01,3741.01,3738.05,3738.89,21.81,3739.526,21
2021-11-19 07:46:00,3737.59,3739.88,3737.03,3739.23,21.5,3737.744,14
2021-11-19 07:47:00,3742.0,3744.65,3737.0,3737.01,24.57,3741.242,23
2021-11-19 07:48:00,3737.85,3739.56,3736.85,3737.84,18.6,3738.046,16
2021-11-19 07:49:00,3738.5,3740.06,3738.5,3740.06,9.0,3739.163,9
2021-11-19 07:50:00,3740.26,3741.67,3739.03,3739.81,13.04,3740.075,13
2021-11-19 07:51:00,3740.27,3741.09,3737.0,3737.39,22.27,3738.768,16
2021-11-19 07:52:00,3738.73,3738.73,3736.75,3737.77,26.98,3737.949,23
2021-11-19 07:53:00,3736.46,3736.46,3731.31,3733.31,55.08,3734.182,32
2021-11-19 07:54:00,3733.05,3736.59,3733.05,3735.98,20.0,3734.853,19
2021-11-19 07:55:00,3736.07,3739.58,3735.16,3739.58,18.41,3736.753,14
2021-11-19 07:56:00,3738.16,3741.9,3738.03,3741.86,23.78,3739.73,21
2021-11-19 07:57:00,3741.11,3744.23,3741.04,3741.08,42.17,3742.372,34
2021-11-19 07:58:00,3741.19,3743.24,3740.14,3742.0,44.5,3741.687,42
2021-11-19 07:59:00,3742.38,3742.38,3739.77,3741.97,15.22,3741.073,15
2021-11-19 08:00:00,3742.08,3745.0,3740.48,3741.07,31.62,3742.963,28
2021-11-19 08:01:00,3740.74,3744.03,3740.74,3742.01,18.99,3742.54,15
2021-11-19 08:02:00,3742.78,3743.92,3742.11,3743.04,18.64,3742.812,12
2021-11-19 08:03:00,3743.03,3743.05,3740.54,3740.72,24.62,3741.88,23
2021-11-19 08:04:00,3741.05,3744.0,3741.05,3744.0,18.83,3742.65,14
2021-11-19 08:05:00,3744.69,3747.0,3743.14,3747.0,34.31,3744.989,25
2021-11-19 08:06:00,3746.37,3748.0,3745.01,3747.07,67.35,3746.87,39
2021-11-19 08:07:00,3746.75,3748.24,3746.47,3748.24,27.7,3747.415,21
2021-11-19 08:08:00,3749.49,3750.0,3749.0,3749.84,89.85,3749.687,61
2021-11-19 08:09:00,3749.09,3750.0,3747.41,3747.41,47.87,3748.936,41
2021-11-19 08:10:00,3747.02,3749.61,3746.0,3748.35,36.64,3747.055,30
2021-11-19 08:11:00,3747.51,3750.23,3747.5,3750.23,33.06,3749.233,21
2021-11-19 08:12:00,3750.47,3752.0,3748.61,3751.33,25.91,3750.185,25
2021-11-19 08:13:00,3752.0,3755.0,3751.0,3753.57,80.79,3753.228,69
2021-11-19 08:14:00,3754.0,3755.87,3748.64,3749.44,98.39,3753.493,46
2021-11-19 08:15:00,3749.44,3754.2,3748.13,3752.01,44.15,3750.916,43
2021-11-19 08:16:00,3752.74,3757.07,3751.73,3755.3,104.65,3755.045,63
2021-11-19 08:17:00,3755.69,3758.89,3755.42,3758.75,67.54,3756.868,41
2021-11-19 08:18:00,3758.71,3759.67,3755.18,3755.18,43.28,3758.2,28
2021-11-19 08:19:00,3756.16,3758.0,3756.16,3756.54,45.68,3757.087,27
2021-11-19 08:20:00,3756.87,3756.94,3754.46,3755.24,53.48,3755.541,32
2021-11-19 08:21:00,3755.23,3756.04,3753.08,3755.84,49.98,3754.78,28
2021-11-19 08:22:00,3755.0,3756.94,3755.0,3756.74,22.82,3755.939,15
2021-11-19 08:23:00,3755.93,3756.73,3755.8,3756.43,14.35,3756.195,13
2021-11-19 08:24:00,3756.98,3757.53,3754.2,3754.83,39.62,3756.724,24
2021-11-19 08:25:00,3754.02,3754.44,3751.56,3754.38,28.53,3752.609,25
2021-11-19 08:26:00,3753.61,3753.95,3751.18,3751.19,16.0,3752.326,12
2021-11-19 08:27:00,3750.65,3751.1,3746.35,3747.39,47.35,3748.729,31
2021-11-19 08:28:00,3747.45,3753.95,3747.44,3752.94,17.09,3752.823,9
2021-11-19 08:29:00,3753.6,3753.96,3751.0,3752.2,17.0,3752.922,15
2021-11-19 08:30:00,3754.12,3755.18,3753.63,3754.31,38.7,3754.669,26
2021-11-19 08:31:00,3753.96,3753.96,3750.96,3750.96,25.4,3752.377,25
2021-11-19 08:32:00,3751.0,3751.1,3747.79,3747.79,39.21,3749.905,33
2021-11-19 08:33:00,3748.0,3750.68,3747.91,3747.91,29.43,3749.274,18
2021-11-19 08:34:00,3747.91,3749.39,3747.91,3748.95,13.09,3748.722,6
2021-11-19 08:35:00,3749.53,3751.68,3749.18,3751.68,4.13,3750.205,4
2021-11-19 08:36:00,3751.25,3752.36,3751.24,3752.09,11.32,3752.024,10
2021-11-19 08:37:00,3752.14,3755.7,3752.02,3755.11,23.62,3754.434,16
2021-11-19 08:38:00,3754.13,3755.0,3752.73,3754.42,20.8,3754.36,17
2021-11-19 08:39:00,3754.29,3755.49,3753.97,3754.12,17.33,3754.762,17
2021-11-19 08:40:00,3754.51,3755.53,3751.67,3754.48,25.8,3753.85,24
2021-11-19 08:41:00,3753.85,3755.62,3753.04,3755.61,19.42,3754.815,13
2021-11-19 08:42:00,3756.06,3757.0,3753.01,3753.82,42.36,3755.691,28
2021-11-19 08:43:00,3752.72,3755.26,3751.5,3754.85,28.71,3752.673,26
2021-11-19 08:44:00,3754.28,3754.66,3753.18,3753.18,10.61,3754.148,10
2021-11-19 08:45:00,3753.19,3755.97,3751.45,3755.35,58.29,3754.062,47
2021-11-19 08:46:00,3756.4,3758.0,3756.19,3758.0,15.0,3756.678,12
2021-11-19 08:47:00,3757.44,3757.44,3755.49,3755.76,25.15,3756.468,20
