date,open,high,low,close,volume,average,barCount
2021-11-19 06:30:00,1098.84,1104.25,1098.84,1101.44,3159.28,1100.477,399
2021-11-19 06:31:00,1100.44,1104.0,1099.0,1103.41,600.69,1101.741,308
2021-11-19 06:32:00,1102.57,1103.76,1098.12,1098.6,541.72,1100.952,244
2021-11-19 06:33:00,1098.51,1099.99,1094.37,1094.37,972.59,1096.997,494
2021-11-19 06:34:00,1095.48,1095.77,1092.7,1094.53,457.86,1093.956,232
2021-11-19 06:35:00,1094.97,1097.99,1093.75,1097.08,462.93,1095.918,256
2021-11-19 06:36:00,1097.37,1098.5,1095.61,1098.0,604.75,1097.137,295
2021-11-19 06:37:00,1097.48,1098.55,1095.78,1096.89,357.09,1097.168,164
2021-11-19 06:38:00,1096.45,1097.4,1095.98,1096.95,226.67,1096.463,131
2021-11-19 06:39:00,1096.37,1096.9,1095.5,1096.15,277.39,1096.081,146
2021-11-19 06:40:00,1096.28,1097.86,1094.31,1097.63,503.38,1095.899,215
2021-11-19 06:41:00,1097.56,1100.0,1097.0,1097.66,671.08,1098.426,272
2021-11-19 06:42:00,1097.5,1104.78,1097.42,1104.78,806.51,1100.92,402
2021-11-19 06:43:00,1104.38,1109.22,1104.33,1108.56,1754.88,1107.339,828
2021-11-19 06:44:00,1108.51,1110.69,1105.45,1106.67,1472.78,1108.853,648
2021-11-19 06:45:00,1107.0,1109.53,1106.57,1109.49,790.19,1108.28,363
2021-11-19 06:46:00,1109.02,1111.77,1107.5,1108.82,881.43,1109.78,439
2021-11-19 06:47:00,1109.03,1109.03,1103.0,1104.84,651.12,1106.004,364
2021-11-19 06:48:00,1104.94,1106.6,1104.48,1105.0,587.03,1105.836,221
2021-11-19 06:49:00,1104.74,1106.6,1103.86,1105.38,580.86,1105.231,244
2021-11-19 06:50:00,1105.47,1106.79,1105.07,1105.13,553.93,1105.831,240
2021-11-19 06:51:00,1105.1,1105.4,1100.38,1102.61,554.84,1102.616,329
2021-11-19 06:52:00,1102.31,1102.87,1100.42,1100.62,285.97,1101.775,137
2021-11-19 06:53:00,1100.53,1102.74,1100.32,1101.71,267.54,1101.478,152
2021-11-19 06:54:00,1101.97,1103.87,1101.5,1103.2,410.1,1102.614,207
2021-11-19 06:55:00,1103.2,1104.16,1101.82,1102.77,265.17,1103.064,174
2021-11-19 06:56:00,1102.59,1103.38,1100.5,1101.34,307.15,1101.838,152
2021-11-19 06:57:00,1101.65,1102.78,1101.0,1102.51,214.97,1101.915,88
2021-11-19 06:58:00,1102.53,1104.99,1102.46,1104.0,355.23,1104.019,169
2021-11-19 06:59:00,1104.0,1106.75,1103.75,1106.33,585.53,1105.575,280
2021-11-19 07:00:00,1106.6,1106.96,1103.9,1104.43,309.54,1105.255,175
2021-11-19 07:01:00,1104.24,1105.71,1104.01,1104.44,183.07,1104.76,88
2021-11-19 07:02:00,1104.59,1107.21,1104.37,1106.89,506.36,1106.142,249
2021-11-19 07:03:00,1106.57,1108.2,1105.85,1107.32,553.65,1107.489,246
2021-11-19 07:04:00,1107.73,1107.89,1106.21,1106.32,324.76,1107.095,171
